Date,Open,High,Low,Close,Adj Close,Volume
1994-07-04,3623.199951,3712.100098,3579.699951,3580.899902,3580.899902,0
1994-07-05,3580.899902,3599.600098,3486.000000,3564.300049,3564.300049,0
1994-07-06,3564.300049,3781.600098,3564.300049,3753.500000,3753.500000,0
1994-07-07,3753.500000,3923.300049,3753.500000,3905.000000,3905.000000,0
1994-07-08,3905.000000,4051.899902,3860.699951,4051.899902,4051.899902,0
1994-07-11,4051.899902,4100.399902,3957.600098,4010.899902,4010.899902,0
1994-07-12,4010.899902,4086.600098,3916.199951,3919.800049,3919.800049,0
1994-07-13,3919.800049,3953.600098,3808.800049,3840.899902,3840.899902,0
1994-07-14,3840.899902,4050.100098,3840.899902,4016.500000,4016.500000,0
1994-07-15,4016.500000,4142.500000,4016.500000,4079.899902,4079.899902,0
1994-07-18,4079.899902,4116.700195,4033.600098,4045.300049,4045.300049,0
1994-07-19,4045.300049,4045.300049,3868.000000,3874.699951,3874.699951,0
1994-07-20,3874.699951,4049.800049,3874.699951,4038.600098,4038.600098,0
1994-07-21,4038.600098,4053.199951,3986.399902,4018.500000,4018.500000,0
1994-07-22,4018.500000,4084.100098,3950.199951,3986.600098,3986.600098,0
1994-07-25,3986.600098,4031.199951,3937.600098,3993.899902,3993.899902,0
1994-07-26,3993.899902,4078.199951,3973.000000,4077.199951,4077.199951,0
1994-07-27,4077.199951,4162.399902,4035.000000,4150.100098,4150.100098,0
1994-07-28,4150.100098,4258.799805,4146.799805,4255.399902,4255.399902,0
1994-07-29,4255.399902,4272.799805,4178.100098,4201.299805,4201.299805,0
1994-08-01,4201.299805,4222.600098,4091.100098,4152.000000,4152.000000,0
1994-08-02,4152.000000,4310.799805,4152.000000,4310.799805,4310.799805,0
1994-08-03,4310.799805,4426.399902,4275.299805,4392.200195,4392.200195,0
1994-08-04,4392.200195,4406.399902,4320.700195,4355.000000,4355.000000,0
1994-08-05,4355.000000,4476.200195,4329.299805,4469.500000,4469.500000,0
1994-08-08,4469.500000,4650.000000,4405.100098,4580.899902,4580.899902,0
1994-08-09,4580.899902,4615.100098,4484.500000,4558.299805,4558.299805,0
1994-08-10,4558.299805,4596.500000,4482.700195,4513.200195,4513.200195,0
